辩护人,杨宇硕 Woo-seok Yang,2013,9.2,电影的现实意义大过电影本身。
大闹天宫,万籁鸣 Laiming Wan,1974,9.2,优雅的孤独。
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,9.1,动物版《哈姆雷特》。
死亡诗社,彼得·威尔 Peter Weir,1989,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,9.1,视觉革命。
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
搏击俱乐部,大卫·芬奇 David Fincher,1999,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
绿皮书,彼得·法雷里 Peter Farrelly,2018,8.9,去除成见，需要勇气。
饮食男女,李安 Ang Lee,1994,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,朗·霍华德 Ron Howard,2001,9.0,爱是一切逻辑和原由。
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,9.2,别样人生。
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,9.0,在时间之河里感受溺水之苦。
情书,岩井俊二 Shunji Iwai,1995,8.9,暗恋的极致。
两杆大烟枪,Guy Ritchie,1998,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,8.9,美丽无罪。
看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,8.8,你以为你以为的就是你以为的。
飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,9.1,自由万岁。
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,9.0,美利坚精神输出大片No1.
音乐之声,罗伯特·怀斯 Robert Wise,1965,9.1,用音乐化解仇恨，让歌声串起美好。
小鞋子,马基德·马基迪 Majid Majidi,1997,9.2,奔跑的孩子是天使。
阿凡达,詹姆斯·卡梅隆 James Cameron,2009,8.8,绝对意义上的美轮美奂。
海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,9.3,海豚的微笑，是世界上最高明的伪装。
致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,8.9,孪生蝙蝠侠大战克隆金刚狼。
